Vivado Simulator 2018.2
Time resolution is 1 ps
T =  920.0 ps | State = FETCH  | Next State = DECODE | PC = 00400058 | IR = 8df10000
T =  930.0 ps | State = DECODE | Next State =I/J-Type| PC = 0040005c | IR = add10000
T =  940.0 ps | State = SW     | Next State = WB_mem | PC = 0040005c | IR = add10000
T =  950.0 ps | State = WB_mem | Next State = FETCH  | PC = 0040005c | IR = add10000
T =  960.0 ps | State = FETCH  | Next State = DECODE | PC = 0040005c | IR = add10000
T =  970.0 ps | State = DECODE | Next State =I/J-Type| PC = 00400060 | IR = 21ef0004
T =  981.0 ps | State = ADDI   | Next State = WB_imm | PC = 00400060 | IR = 21ef0004
T =  990.0 ps | State = WB_imm | Next State = FETCH  | PC = 00400060 | IR = 21ef0004
T = 1000.0 ps | State = FETCH  | Next State = DECODE | PC = 00400060 | IR = 21ef0004
T = 1010.0 ps | State = DECODE | Next State =I/J-Type| PC = 00400064 | IR = 21ce0004
T = 1021.0 ps | State = ADDI   | Next State = WB_imm | PC = 00400064 | IR = 21ce0004
T = 1030.0 ps | State = WB_imm | Next State = FETCH  | PC = 00400064 | IR = 21ce0004
T = 1040.0 ps | State = FETCH  | Next State = DECODE | PC = 00400064 | IR = 21ce0004
T = 1050.0 ps | State = DECODE | Next State =I/J-Type| PC = 00400068 | IR = 21adffff
T = 1061.0 ps | State = ADDI   | Next State = WB_imm | PC = 00400068 | IR = 21adffff
T = 1070.0 ps | State = WB_imm | Next State = FETCH  | PC = 00400068 | IR = 21adffff
T = 1080.0 ps | State = FETCH  | Next State = DECODE | PC = 00400068 | IR = 21adffff
T = 1090.0 ps | State = DECODE | Next State = R-Type | PC = 0040006c | IR = 15a0fffa
T = 1101.0 ps | State = BNE_1  | Next State = BNE_2  | PC = 0040006c | IR = 15a0fffa
T = 1110.0 ps | State = BNE_2  | Next State = FETCH  | PC = 0040006c | IR = 15a0fffa
T = 1120.0 ps | State = FETCH  | Next State = DECODE | PC = 00400054 | IR = 15a0fffa
T = 1130.0 ps | State = DECODE | Next State =I/J-Type| PC = 00400058 | IR = 8df10000
T = 1140.0 ps | State = LW_1   | Next State = LW_2   | PC = 00400058 | IR = 8df10000
T = 1150.0 ps | State = LW_2   | Next State = WB_lw   | PC = 00400058 | IR = 8df10000
T = 1160.0 ps | State = WB_lw  | Next State = FETCH  | PC = 00400058 | IR = 8df10000
T = 1170.0 ps | State = FETCH  | Next State = DECODE | PC = 00400058 | IR = 8df10000
T = 1180.0 ps | State = DECODE | Next State =I/J-Type| PC = 0040005c | IR = add10000
T = 1190.0 ps | State = SW     | Next State = WB_mem | PC = 0040005c | IR = add10000
T = 1200.0 ps | State = WB_mem | Next State = FETCH  | PC = 0040005c | IR = add10000
T = 1210.0 ps | State = FETCH  | Next State = DECODE | PC = 0040005c | IR = add10000
T = 1220.0 ps | State = DECODE | Next State =I/J-Type| PC = 00400060 | IR = 21ef0004
